TeamID,TeamName,Rank
T01,Onyx Leopards,32
T02,Ivory Tigers,93
T03,White Sharks,157
T04,Zinc Zebras,108
T05,Bronze Bulls,133
T06,Nickel Knights,148
T07,Yellow Hornets,141
T08,Quartz Crushers,43
T09,Iron Wolves,112
T10,Steel Falcons,92
T11,Blue Phoenix,173
T12,Ruby Stallions,33
T13,Grey Bears,193
T14,Titanium Dragons,120
T15,Emerald Giants,9
T16,Orange Falcons,8
T17,Jade Spartans,84
T18,Silver Lions,36
T19,Purple Cobras,27
T20,Green Titans,17
T21,Golden Eagles,170
T22,Copper Panthers,42
T23,Sapphire Hawks,47
T24,Obsidian Ravens,143
T25,Maroon Rams,129
T26,Red Dragons,68
T27,Cobalt Bulls,113
T28,Crimson Knights,142
T29,Topaz Warriors,106
T30,Mercury Miners,80
T31,Black Wolves,98
T32,Pearl Thorns,49
